POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
74,Rashid Khan,15,8,3,34,17*,6.80,23,147.82,0,0,2,2
75,Rahul Tewatia,5,4,3,26,11*,26.00,22,118.18,0,0,2,1
76,Amit Mishra,11,4,2,21,8,10.50,24,87.50,0,0,2,0
77,Harpreet Brar,2,1,1,20,20*,-,12,166.66,0,0,2,1
78,Prayas Ray Barman,1,1,0,19,19,19.00,24,79.16,0,0,2,0
79,Alzarri Joseph,3,2,2,15,15*,-,13,115.38,0,0,2,0
80,Rahul Chahar,13,4,2,12,10,6.00,11,109.09,0,0,2,0
81,Mitchell McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0
82,Mahipal Lomror,2,1,0,8,8,8.00,3,266.66,0,0,2,0
83,Shivam Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3
84,Yusuf Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1
85,Rinku Singh,5,3,1,37,30,18.50,34,108.82,0,0,1,2
86,Chris Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2
87,Keemo Paul,8,6,1,18,7,3.60,24,75.00,0,0,1,1
88,Ben Cutting,3,3,1,18,13*,9.00,17,105.88,0,0,1,1
89,Krishnappa Gowtham,7,4,1,18,9,6.00,19,94.73,0,0,1,1
90,Simran Singh,1,1,0,16,16,16.00,17,94.11,0,0,1,1
91,Siddhesh Lad,1,1,0,15,15,15.00,13,115.38,0,0,1,1
92,Shardul Thakur,10,3,1,14,12*,7.00,7,200.00,0,0,1,1
93,Bhuvneshwar Kumar,15,5,2,12,7*,4.00,19,63.15,0,0,1,0
94,Kuldeep Yadav,9,4,2,12,10*,6.00,8,150.00,0,0,1,0
95,Carlos Brathwaite,2,2,0,11,6,5.50,10,110.00,0,0,1,0
96,Ishant Sharma,13,3,3,10,10*,-,3,333.33,0,0,1,1
97,Pawan Negi,7,4,0,9,5,2.25,12,75.00,0,0,1,0
98,Abhishek Sharma,3,3,1,9,5*,4.50,9,100.00,0,0,1,0
99,Deepak Chahar,17,2,0,7,7,3.50,9,77.77,0,0,1,0
100,Nikhil Naik,1,1,0,7,7,7.00,16,43.75,0,0,1,0
